,0,1,2
448,스트랩 주문한게 하나씩 도착하네용,번 케이스 번 로즈골드 케이스 합체생각보다 스트랩 넓이도 넓고손목만 얇은편이라 끝까지 조여서 두줄로 감싸지니 갑갑한 느낌이있네요슬림쪽으로 찾아봐야겠어요,2021.07.21. 22:14
449,페이스 제작,클락콜로지로 첨 만들어 봤습니다충전시 화면이 깔끔하게 잘 보여서 비슷하게 만들었습니다,2021.07.21. 20:45
450,링블 편하고 이쁘네요,이 곳 아사모에서 샀는데 흠집도 거의 없고 깔끔하네요 ㅎㅎ 너무 맘에 들어요 이쁘고 착 감기는게 밀레보다 더 편하네요 무거울줄 알았는데 가볍고 밀레 막 돌아가는게 살짝씩 건드려줬는데 이건 딱 맞아서 그럴필요도 없어요 정말 돈값하는듯요 ㅎㅎ 이제 운동이나 등산갈때 빼고는 이것만 차야할듯 싶습니다 ㅎㅎㅎ,2021.07.21. 20:04
451,드디어,드디어 월의 목표 칼로리 워치가 준 숙제를 박살 냈네요,2021.07.21. 19:24
452,하이틴 보라색 워치 배경화면 공유,안녕하세용하이틴감성에 빠져있는 윰앙주입니댜나만 하기 아까운하이틴 레트로 보라보라색 위주 배경화면 공유합니당출처는 거의 핀터레스트에서 긁어와써용 맨아래 두개는 워치에 적용하면 요론 느낌보라색 스트랩에 찰떡이즁  저는 거의 원래 클락콜로지 페이스만 사용하는데배터리 아끼는날 요로케 이미지 순정 페이스로해주면 예쁜거같아요워치 페이스 뿐만 아니라 폰꾸할때 어플화면으로 해주셔도 이뻐요아래는 제 폰꾸화면입니당요로코롬  예쁘게 쓰세용,2021.07.21. 19:05
453,애플워치는 애플워치다,브랜드 따위훗아재병 걸렸나봐요 ㅋ,2021.07.21. 18:25
454,애플워치  구매,드디어 삿네요 ㅠㅠ 블랙이 간지가,2021.07.21. 18:16
455,민트빠이고 싶은 노랑워치,오늘은 베이지 노랑옷은 민트민트한데 워치는 민트가 없어요ㅠ 민트하나 장만하고싶어서 기웃기웃하는데아직 못샀네요 오늘도 심히 더운하루 피곤이 몰려오지만중복이니 닭한마디 뜯고 즐건하루 되세욧,2021.07.21. 17:14
456,애플워치  이쁘네요,진작에 살걸예뻐서 샀는데 편하기도 엄청편하네요,2021.07.21. 16:53
457,애플워치 입문 잘못했다가 시계입문까지 년,애플워치 에르메스 뽕맞아서 종류별로 다샀다가 갑작 오토매틱에 빠져서 롤이 과열되기전에 미친듯이 샀네요 이제 파텍 가고싶은데 파텍가격은 달나라가서 다음생에 사야할까요 가성비와 갬성은 애플워치가 갑인듯 합니다,2021.07.21. 15:44
458,오늘처럼 개더운날 스트랩 어떤걸 착용하시나요,저는 밀레니즈를 착용했어요 ㅎ오늘 정말 덥네요 모두들 더위 조심하세요,2021.07.21. 13:57
459,직접찍은 시골강아지와 데이지,,2021.07.21. 13:47
460,애플워치  개월 리뷰,애플워치를 개월 사용하면서 내가느낀 점들을 차례차례로 써내려갈 것이다 먼저 나는 워치를 사용하기 전에는 워치 그거 머 하러 사는지 이해가 되지 않았다 주로 알람 확인과 운동 할때 사용을 많이 하던데 나의 생활패턴에는 맞지 않았기 때문에 사지 않을것이라 생각했고 어느샌가 내 손목엔 자연스레 앉아 있었다나의 워치의 주 생활패턴은 주로 알림확인이 사용되어왔다나는 워치를 처음사용했을때만 해도 물먹는거 체크하고 맥박 체크 등등 활용할려고 노력을 하였지만 결국 돌아오는거는 알림과 음악듣는 컨트롤러일 뿐이였다따라서 워치의 리뷰를 해보자면  워치 있으면 좋고 없어도 상관없는데 만약 워치를 생각하고 이리저리 정보를 찾다보면 가까운 미래에 당신의 손목에 있을 가능성이 높다는 얘기를 해주고 싶다장점아이폰 진동이 자연스러워서 알아채리지 못할때가 있는데 전화를 뺴먹지 않아서 좋음디자인 줄질을 할수가 있다단점가격,2021.07.21. 13:37
461,오늘의 워치는,매일 오늘은 어떤 페이스로 할까고민과 함께바꾸는 꿀잼페이스가 많음에도 불구하고 자꾸만 새로운건 다받고 싶어지네요,2021.07.21. 12:34
462,워치 세탁기에 놓고 돌려버렸네요ㅜㅜ 괜찮나요,말 그대로 워치를 세탁기에 놓고 돌렷네요 ㅜㅜ 어제 물놀이 하느라고 잠깐 풀어놧는데 옷이랑 같이 딸려들어갔나봐요ㅜㅜ아침에 아내가 이게 뭐냐면서 깜짝놀라면서제 워치를 주더군요ㅜㅜ배터리가 방전된건가 안켜지네요아 일단 애케플은 들어놔서 그나마 한시름 놓긴하는데어떻게 해야 할지 모르겠습니다ㅜㅜㅋㅋㅋㅋ일단 바로 쌀통에 넣어놧는데,2021.07.21. 12:23
463,결국 저도 빤짝이는 아이를 들였,만족스러운 오랜만에 줄질고렴이 케이스는 사기 싫었는데 딱 맘에 들어요스트랩도 슬림이라 그런가 길이 안길고 딱 편하네요,2021.07.21. 12:00
464,ios 14.7 / watchos 7.6 업데이트 후 아이폰으로 애플워치 잠금해제,"제목대로 IOS와 WATCHOS 모두 금방 업데이트했는데 아이폰으로 애플워치 잠금해제 기능이 좀 버벅거리네요..​공홈에 터치아이디 기능 있는 아이폰의 경우 아이폰으로 애플워치 잠금해제에 문제가 있는 경우가 있다는 내용은 봤는데, 문제는 제 폰은 12pro라는 점…ㅡㅡ (워치는 SE입니다)​업데이트한 다음 처음에는 아예 아이폰으로 애플워치 잠금해제가 전혀 안되서 워치를 재부팅했더니 다행히 잠금해제가 되긴 하는데​워치를 풀렀다 다시 찬 다음 아이폰에 비번 넣어서 폰을 잠금해제해도 워치 잠금해제가 안되다가, 다시 폰을 잠그고 비번 넣어서 잠금해제하면 그 때 워치도 잠금해제 되네요​업데이트 전보다 잠금해제 속도도 느린거 같고..(업데이트 전에는 폰 잠금해제하면 거의 동시에 워치도 잠금해제되었음)​혹시 저처럼 업데이트 후에 페이스아이디 폰인데도 아이폰으로 애플워치 잠금해제가 안되시는 분은 부팅하시면 되긴 합니다만 기능이 제대로 작동안하는 거 같다는 부분 참고하시기 바랍니다.​이거 은근히 불편하네요….ㅜㅜ",2021.07.21. 11:33
465,애플워치 꿀팁,워치 꿀팁 공유좀 해주세요 ㅠㅠ지금 구매한지 한달하고 3주 정도 되어서시간체크할때 그리고 알람보는거? ㅋㅋㅋ 빼고는 아직 모르겠네요여러분들의 팁이 필요합니다!!! 도와주세요,2021.07.21. 11:20
466,가끔가다 시계모양보다는 심플한 이미지가 더 이뻐보일때가 있네요..,"​저 이미지를 아이패드 배경화면에 적용해봤는데, 워치만큼 퀄이 나와주진 않네요….​기기:Apple Watch SE 44mm배경화면 출처 : 어느 리듬게임의 BGA 일부",2021.07.21. 07:48
467,워치  카톡답장요,음성이랑  자주사용하는  문구  말고는  없는건가요?,2021.07.20. 23:17
468,애플워치 사용 7개월차 배터리 성능,네 93% 입니다 ㅋㅋㅋ 내년 까지 잘 버텨 줄지 잘 모르겠네요 ^^,2021.07.20. 21:42
469,요즘은,요즘은 나이키 페이스가 좋더라 ㅎ,2021.07.20. 20:35
470,사과농장에 박차를 가하고 있습니다 ㅎㅎ,지난주에 스댕차고 운동했더니 땀때문에 얼룩도 지고 기스도 많이 날듯해서 또 다시 운동용으로 se중고로 업어왔습니다 ㅎㅎ운동할때 쓸거라서 큰게 좋을듯 싶어 44로 가려다 걍 40으로 갔는데 전 이제 무조건40으로 해야겠네요 ㅎㅎ애플워치를 많이 차다보니 이젠 사이즈부분은 해결된듯 합니다 ㅋㅋㅋ그럼 앞으로 더 열심히 돈벌어서 사과농장을 키워보겠슴다 ㅎㅎㅋㅋ🍎🍏🌳,2021.07.20. 18:53
471,진동 기능,워치는  진동은  안되나요?오늘  처음  사용중인데. . 진동기능은  없나요?  전화는  오는데. . 문자   카톡은   알림이  안와요어떻게  하는지  알려주세요,2021.07.20. 17:51
472,오늘의 워치 페이스 / 순정 예쁘네요 ㅎ,"안녕하세요. 웃기지마라입니다.삶이 바빠서 요즘 통 페이스 제작을 못하는데​갑자기 순정이 예뻐보여서ㅎㅎㅎ이리 쓰고 있습니다.



 





















 



워치애니띵 조차 안쓰는;;;순정 이뻐요!!!",2021.07.20. 17:37
473,여름엔 핑쿠지💗 (feat. 큐빅 케이스),"안녕하세용?​얼마전 산 핑크솔로루프와 함께큐빅케이스를 착용시켜줬는데용​



 

























넘이뽀요 잘어울려버렷,,,💗​



 














마지막사진은 저번에 올렸지만아주잘나온관계로 재탕하고갑니다 후후​👋👋👋",2021.07.20. 17:20
474,투명케이스,여기저기 찍혀서 액정기스 쭉쭉 생겨서 응급처치 했어요;-;,2021.07.20. 16:42
475,돌아오세요….,"그립읍니다…캬캬좌



 









 



노고에 감사드립니다👍👍👍👏👏👏",2021.07.20. 16:38
476,선물 받았어요!,받은지 좀 됐는데 이제서야 글 올려봐요으악 너무 예쁘네요 ! (사진펑),2021.07.20. 16:19
477,결국 에르메스로….,어제 급하게 여의도로 픽업 신청해서 당일 픽업 완료!​아직 아무것도 모르겠지만 … 또 숙제가 늘었네요​운동이나 일하러 갈땐 스포츠!외출할땐 밀레니즈!​에르메스 가죽이나 밴드는 아까워서 쓰겠나요….?ㅋㅋㅋㅋㅋㅋㅋ,2021.07.20. 12:53
478,와 워치 카톡도 읽어주네요??,업무중에 에어팟끼고있었는데 시리가 문자 읽어주길래 문자인줄 알고 확인했는데 카톡이네요..??!아이폰에 연결했을땐 문자만 읽어줬었는디...깜짝놀랐네요 ㅎㅎㅎ,2021.07.20. 12:49
479,카시오 페이스+스포츠루프,"드뎌 클락클로지로 카시오 페이스 해봤네요:)카시오 엄청 해보고 싶었는데 마음에 드네요밧데리가 무진장 빨리 줄어드는게 흠이지만 ㅠㅠ​애플워치 산지 2주 정도 되었는데스포츠 루프 스트랩이 제일 편하고 좋은 것 같아요  ​위에는 핑크골드아래는 썸밋 화이트 입니닷:)둘다 짜댕이지만 마음에 들어요 ㅋㅋㅋㅋㅋ​



 

























​​근데 아래 페이스 요일과 월 일이영어로 되는거 받았는데 ;;한자로 되네요ㅠㅠ​​",2021.07.20. 12:39
480,오늘의 워치 큐빅케이스 밀레니즈루프입니다,큐빅케이스 오늘 도착했네요 ㅎㅎ 예뻐요!!날씨가 많이 더워요 다들 더위 조심하세요~^^,2021.07.20. 11:07
481,죠르디ㅎㅎ,죠르디 워치입니다.사이즈가 작은지 자국이 마니남아서중간중간 빼줄때 찍었네요ㅎㅎㅠ낼 사이즈 다시재러갑니당​죠르디페이스와 헬로키티 악세 정보를 알려주신 퍼플OI님께 감사인사드립니다ㅎㅎ키티 커버 대만족이네요ㅋㅋㅎ!,2021.07.19. 21:52
482,"애플워치 스트랩 알러지,, ㅠㅠ","일반 스포츠 밴드는 괜찮은데메탈 끼면 이렇게 되요ㅠㅠ저같은분 계세요,,?메탈은 영원히 못끼려나 ,, 슬프네요 😢



 














​​",2021.07.19. 21:42
483,여름에는 밀레니즈,​여름에는 역시 밀레니즈죠 😃👍🏻,2021.07.19. 20:58
484,너무 편해요:3,애플스토어에서 시착해보고 반해서 브레이드 솔로루프 데려왔는데 너무 편하고 상큼합니다👍👍​땀찰까봐 걱정했는데 오히려 산뜻하고 좋은것 같습니다🍈,2021.07.19. 20:47
485,큰 페이스만 쓰게 되네요 😊,"페이스가 다양하지만손이 많이 가는 큰 글씨​기분따라 바꾸는 재미도 있어요 🙂👍🏻



 





































































​",2021.07.19. 19:32
486,큰 페이스만 이미지 공유합니다,"큰글씨 페이스에서 WatchAnyting 적용해서 사진크기 조절해서 사용하세요^^​



 

















































































































​",2021.07.20. 11:37
487,워치 스트랩 정리했어요~,스트랩 정리함 새로 사려고 알아보다 결국 집에 있던 걸로ㅎ..  워치는 내일 올것같아요😆,2021.07.19. 19:29
488,오늘의  워치,알리표여요 전부 ㅎㅎ,2021.07.19. 18:05
489,오랜만에 투명 케이스!,"​필름이 요즘 너무 더러워져서🤣필름 바꾸려다가 투명 케이스가 눈에 들어와서오랜만에 투명 케이스를 껴봤습ㄴㅣ다😜​마트 갔다 오면서 그레이가 되어버린🤣 펄 핑크와 함께 찍어봤어요오📷📸​투명은 어디에도 잘어울리는 것 같아요👏🏻🤩



 









 














​",2021.07.19. 17:57
490,해파리가 이쁜 워치,해파리 꼬물락 ~너무 리얼해요 ~,2021.07.19. 17:48
491,약간 특이하고 예쁜 아디다스 페이스,"오늘은 노랭이 워치 ✌🏻​



 














이 셋중에 고민했는데 뭘 차고 나왔을까요? ㅎ_ㅎ​



 














노랭이 스포츠밴드를 착용했습니다 ㅎㅎ​



 














페이스는 아사모에서 공유받았는데 너무 귀여워요알록달록해서 완전 특이하고 예쁜 느낌 🤭​​



 














깔맞춤은 빼놓을 수 없죠,,,👀💛​​배경화면 공유받은 링크 ⬇️https://cafe.naver.com/appleiphone/3680026



 








adidas.. 세번째 (6,6s,6+6s+)
대한민국 모임의 시작, 네이버 카페
cafe.naver.com






 



​​​",2021.07.19. 17:25
492,시계 바늘이 도망가는 오늘의 워치 (?),"페이스가 너무 귀여운데 .. ㅎ어떤 이유? 원인 때문인지는 모르겠지만시간 볼라구 보면 작은 시계 바늘이 탈출해 있어서​때마다 클락콜로지에서 수정 해줘야 하는손이 많이 가는 아이 • • •​그래도 귀여워서 종종 쓰는 듕 입니당​​



 









 



​+ 글 올리면서 워치 페이스 만드시구 공유해주신 블로그 주인님께 시계 바늘 탈출 증상을 말씀드렸더니수정해서 재업로드 해주셨습니당덕분에 이제 시계 바늘이 도망가지 않는 페이스를사용할 수 있어효",2021.07.19. 15:56
493,케이스 가격 국내들어오니 덜덜하네요,에르메스보다 더한거 같네요,2021.07.19. 15:49
494,스포츠 루프,위 : 기본아래 : AOD 화면입니다,2021.07.19. 14:10
495,강화 필름,고수님들  워치44  강화 필름  추천 부탁드립니다,2021.07.19. 13:51
496,갤유의 애플워치 ㅋㅋㅋㅋㅋ,​며칠전에 갤럭시유저도 애플워치 사용할수있냐고 질문했었는뎈ㅋㅋㅋㅋㅋㅋ​절대 노놉!!!!! 이라고들 하셔서 꿈을 접었는데동생이 안쓴다고 줬어요 ㅋㅋㅋㅋㅋㅋㅋㅋ​동생 만쉐~~~~!!!​진짜 그냥 시계....ㅋㅋㅋㅋㅋㅋㅋ​7쨜 딸랑구가 갤핏2 쓰는데계속 자기꺼라 바꾸자고... 가라😑​차보니까 더더 애플워치 쓰고 싶네요ㅠㅠ​,2021.07.19. 13:09
497,넘오 이쁘다아 히히,"나이키 너무 이쁘다 근데 어플 오류인지  이따금씩 밀리네요   딴거 골랐다가 다시오면 원복되지만요 ㅠㅠ






















원판이 돌아가면서 바뀌어용 ㅎ











요거는 눈이 깜빡깜빡 거립니다 피트니스랑 연동 되구요 











제일 무난 무난 











모처럼 보기 힘든 페이스











심플하고 이쁘고











안에 원판 돌아가는거 졸귀탱







회원 님들이 올려주신거 디테일 수정좀 하고 폰트 바꾸고 위치 조정하니 아주만족 하네요 ㅎ히",2021.07.19. 13:05
498,클락클로지  드디어  성공했습니다,​​클락클로지   블로그며  유튜브  보며   드디어  성공했습니다​카시오  일체감있고  잘어울리는것  같아요~^^,2021.07.19. 12:19
499,시계는와치. 다들 맛점하세용ㅋ,"오늘은 까르띠에입니당 ㅋㅋ​​



 














​하지만 순정이 쵝오!!​



 














이건 어제 와이프랑 한잔 한 사진입니다 ㅎㅎ소주+홍초 오랜만에 했더니,술이 술술 넘어가더라고요 ㅎㅎ​다들맛점하세용 ㅎ",2021.07.19. 12:16
500,이런 스타일 어떤가요?,약간 이런 느낌의 메탈도 괜찮네요 ㅎㅎ,2021.07.19. 12:15
501,생일선물 전달 + 커플에르메스 완성,"지난 도착글https://cafe.naver.com/appleiphone/6745835



 








워치가 왔습니다(40mm에르메스 실버 포브)
대한민국 모임의 시작, 네이버 카페
cafe.naver.com






 



​잘 숨겨두고 포장해두었다 주말간 아내의 생일에잘 전달했습니다 아주 좋아하네요 ㅎㅎㅎㅎ커플처럼 해놓으니 이쁘네요40mm 실버 포브 싱글투어44mm 스블 누아르 싱글투어​",2021.07.19. 11:35
502,다들 케이스는 끼고 다니나요? 존예 ㅜ,애플워치에 케이스를 끼면 워치가 커보여 별로 예쁘지 않는다고 생각했는데​막상 끼니까 존예네요  ㅜ,2021.07.19. 10:39
503,나 퍼플빠 아니라 했는데ㅋㅋ,퍼플빠 아니고 민트빠라 했는데 오늘의 워치 라일락 이네요ㅋㅋ민트도 곧 지르고 싶지만 언제가 될지는 모르겠어요 사진 찍고 눈앞에 보니 텀블러도 퍼플이네요ㅋㅋㅋㅋㅋㅋ,2021.07.19. 10:13
504,애플워치 범퍼 케이스 핑크 예뿌네요!,"그 애플 공홈에서 파는 범퍼 케이스인데가격은 사악하지만 예뻐서 좋습니다... ㅎㅎ​



 














​",2021.07.19. 05:14
505,CARTIER,"첨부파일

Cartier.clock


파일 다운로드",2021.07.18. 20:36
506,오늘은 깔끔한 화이트워치!,"오늘의 워치는 깔끔한 화이트워치🤍​가아끔 차려입을때만 끼고 나오는 화이트워치인데긴 말 필요없는 대조녜탱입니댜ㅠㅠㅠ🤍



 















































아니 근데 필름잌ㅋㅋㅋㅋㅋ귀찮아서 안갈았더니 너무 더러워졌네요🤣🤣안귀찮으면 낼 갈아야겠어요😝ㅋㅋ



 














어두운 곳에서도 잘 보이는 화이트워치🤍",2021.07.18. 20:21
507,ROLEX DAY-DATE,"첨부파일

ROLEX Day-Date V.2.clock


파일 다운로드



내 컴퓨터 저장




네이버 MYBOX에 저장",2021.07.18. 19:54
508,애플워치와 드라이브~~,날이 좋길래 커피 한잔마실라고 나왔는데 빗방울이....그와중에 워치는 이쁘고 난리여서 신호대기중에 한컷 남겨봤습니다 ㅎㅎ 회원님들도 좋은 저녁되시구 하루 잘 마무리하세요~~!!,2021.07.18. 19:17
509,어제 구매한  워치 se 스그  후기입니다.,생전처음 워치 써보는거라  굉장히 설레는데 디자인이 너무 영롱합니다 ㅎㅎ  존버할까했는데  그때되서 팔고  7사면되서  se로 질렀어용​기본줄이  새로같이산  메쉬 루프보다 이뻐보여서 찍은 사진입니다~~  다음엔 어떤줄을 살까 고민입니다.,2021.07.18. 18:28
510,대한민국 인터내셔널 컬렉션 스포츠 루프 가로수길 픽업했어요.,지금 워치가 4 골드 스댕인데생각보다 잘 어울리네요.​어제 밤에 가로수길 픽업으로 구입해서오늘 다녀왔어요!​주차장에서 찍어서 조금 어둡네요..무튼 매우 만족합니다 :)​,2021.07.18. 18:00
511,링케 베젤링 + 밀레니즈 루프,링케 베젤링(상단에 검정 사이드 유광 실버) +밀레니즈 루프 입니당​여름에 쓰가 좋네용 ㅎ,2021.07.18. 15:57
512,만족스러운 조합,스그 알루미늄에 그래파이트 베젤링 붙였는데 밀레니즈 그파랑 일체감 최고에요! 요새 이 조합 고정입니다ㅋㅋㅋ베젤링 붙이니까 남잔데 40mm 살짝 작아보일 수 있는 것도 커버해줘서 아주 만족만족해요 ㅎㅎ,2021.07.18. 15:55
513,물구나무서기 하면서 봐도 여름,"오늘의 약간 여름스러운 워치를 소개합니다 🌊



 














후... 오늘 진짜 덥네요.... 하지만 이정도 더위는 그냥 귀여운 수준입니다저는 대프리카인이니까요​바지랑 워치랑 깔맞춤 해봤어요 ㅎ_ㅎ​



 














애플워치니까 애플페이스ㅎㅎ​



 














간식거리 사서 귀가합니다..레몬맛으로 마시고 싶었지만 깔맞춤으로 시작했으니 마저 끝내야죠? 모구모구 요구르트맛으로 깔끔하게 마무리 👀​



 







 



마지막으로 저의 화려한 게다리춤 솜씨를 자랑합니다​​​​",2021.07.18. 15:52
514,오워치입니다 ㅎㅎ 여름에는 스댕+밀레,한동안 쓰던 애플농장을 처분하고 갤럭시로 외도중다시 애플생태계로 돌아왔습니다 ㅎㅎ 역시 애플은 애플이구나를 또한번 느끼게 된 계기가 되었습니다ㅋㅋㅋ이제 다시 천천히 사과농사 지어봐야겠어요 ㅎㅎ,2021.07.18. 13:32
515,커버를 씌워놓고 몇달을 썼는데,"5 스댕을 올해 3월에 사서​화면도 바꾸고, 스트랩도 많이 샀는데​커버하고 메탈 스트랩을 끼고나서는​기본 화면만 쓰고 시계 용도로만 잘 쓰고 있습니다​커버 씌우면 이쁘지가 않아서 꾸미거나 줄질을 안하게 되네요​벗기자니 또 그냥 그렇고​고민이에요​벗기고 써야 할지 커버를 계속 씌워야 할지..​스트랩은 사놓고 절반은 꺼내보지도 않았네요",2021.07.18. 13:27
516,워치는… 운동이다…🙂,동영상 찍어논거에 캡쳐해서 그런지 화질 다날라갔넹..하하 코로나 4단계로 뛸수없어 자전거만 타는모습..,2021.07.18. 09:31
517,요즘 자주 사용하는 페이스입니다 ㅎㅎ,항상 기본에 충실합니다 ㅎㅎ요즘은 제 얼굴과 머리스타일에 맞춰서 ㅋㅋㅋ나중에는 여자친구 생기면 서로 미모티콘 만들어줘서 하고다녀도 재미있을 것 같네요,2021.07.17. 23:39
518,씨솔트!,많은 분들이 씨솔트 이쁘다 하실때그닥이라고 생각했는데 주문해서 껴보니너무 상큼하고 이쁘네요?역시 다들 이쁘다 하시는데는 이유가 있구나 싶습니다!​,2021.07.17. 21:33
519,오늘의워치페이스,​​크로노그래피프로는 시간확인이시인성이 살짝 아쉽길래 시간 더잘보이는걸루 ..​,2021.07.17. 20:50
520,SE로 질렀습니다,낚시 다니다 보니~​좀더 집중하기 위해 질렀습니다~​좋네요~​,2021.07.17. 19:03
521,워치 사기전에 스트랩 사는 사람..저에요..,영롱하네요.. 그럼 뭐해 워치가 없는데..☺️결제하러 다녀올게요..총총,2021.07.17. 18:30
522,캐롤데이 스트랩 💜,"캐롤데이 다들 아시나요?애플워치 구매하고 첫 줄질 구매를 했으나 주문하고, 바로 상반기 주문마감 되었더라는 ㅜ ㅜ​저는 1월 마지막 주문탑승하고 기다리고 기다려서 이번주 목요일날 받았습니당💜​무려..7개월(속닥속닥)​핸드메이드에 사장님이 혼자 운영하셔서 조금 오래 기다리긴했지만 잊고 있던 선물 같은 느낌이라 좋았어요!자랑은 하고 싶은데 딱히 SNS/블로그를 안해서 아사모에 첫 글로 스트랩 자랑해봅니다! 정말 예쁘고 만족 만족 대만족이예요. ​저는 싱글 스위프트 퍼플 가죽이구, 손목둘레는 13.5입니다. 버클을 일단 핀버클, D버클, H버클 있어요!​저는 애플워치 사고 스트랩 검색하고 시계에대해 알게되면서 약간... H버클 로망 있어서 사장님의 손목둘레 15cm 이하이면 추천 안한다는 말도 조용히 넘기고 H버클로 주문했습니다...!!​받고나서 추천안한다는 사장님말씀 바로 체감했지만, 생각안날정도로 너무예뻐요💜💜💜💜💜재구매 이벤트에도 탑승해서 주문 요청했습니다!!​마무리를 어떻게 해야할지 모르겠지만, 다른분들 스트랩 착샷 올리고 눈팅하면서 구매처만 물어보다가 드디어 올려보네요!​사장님, 지금 서울 안계신다는데 어디계신가용그쪽으로 절한번 하게쯥니다🙇‍♀️​다들 즐거운 주말보내세요😊",2021.07.17. 17:35
523,워치 스트랩 (루프)추가 했어요.,"나이키와 고민하다 구매했는데스그에 무난하게 포인트 주기 좋은 것 같네요. 방출한 새들 브라운 루프 대체할 가을 겨울용 줄만 구입하면 줄질은 끝날 것 같네요. 스포츠 밴드 대비 루프가 확실히 모든 면에서 나은 것 같네요. (디자인, 편의성, 무게) 내구성은 아직 모르겠습니다)​",2021.07.17. 17:33
524,키티도 귀여워요,케이스는 ㅇㄹ 밴드는 애플워치6 gps 골드에 포함되있던 핑크샌드 스포츠밴드입니다! 귀여워서 기분전환되네요ㅎ,2021.07.17. 14:31
525,카프리 블루  너무 예쁩니다!!,어젯 밤.. 줄질 충동이 일으켜 막 찾아보다카프리블루에 꽂혀서  6만5천원을.. 긁었습니다저렴이로만 줄질하다  카프리블루는 도저히 못참아서 ㅋㅍ에서 질렀는데  진짜 대만족 ㅋㅋ  원했던 쨍한 블루 정말 후회 안됩니다~​#워치페이스는 꽃징비님께서 만들어주신 페이스에 배터리표시만 추가했습니다 😆,2021.07.17. 14:05
526,집에선 스포츠루프밴드가 짱이네요!,항상 느끼는건데 스포츠루프밴드가 너무 편하고 좋아요!엊그제부터 오토슬립 다운받아서 착용하고 자는데.. 편하고 좋아용~~~​블레이드솔로루프도 곧 사야겠어요!​,2021.07.17. 13:17
527,가죽 싱글 투어,"확실히 여름에 가죽 밴드는 덥네요가을, 겨울 까지 넣어둬야겠어요",2021.07.17. 12:39
528,엄청 덥네요~~,솔로루프 싸이즈 선택을 잘해야겠네요~~측정해서 정싸이즈 시켰더니 너무 딱 맞는 ㅡㅡ;;; 차다보면 좀 늘어날런지...,2021.07.17. 12:21
529,watchOS 8 베타 3 달라진 점,"1. 신규 애플워치 추가 버튼의 크기가 달라졌습니다. ​2. 애플워치 페이스 추가 목록에서 인물 사진 페이스가 추가되었습니다. 



 
















 



​3. 손 제스처 명칭이 변경되었습니다. 



 
















 



베타 1-2 : 손가락 펼치기/오므리기베타 3 : 엄지 검지 맞대기​4. 워치에서와 같이 페이스 갤러리 목록에 인물사진 페이스가 추가되었습니다. 



 














​5. 음악 앱 컨트롤 버튼이 중앙으로 돌아왔습니다. 



 














 6. 메시지 앱에서 반응 외에 공유버튼, 전달 버튼이 추가되었습니다.",2021.07.17. 12:18
530,심호흡 후하-,"​요즘 현생에 너-무 치여 심호흡을 메인에 해두고 살아유. ​야근야근- 불금인데 어제도 야근하고,,:(​주중엔 근무지 근처 내려와있어서 이제 열차타고 올라가네요. ​코로나 모듀 조심하세유🙏​​​​​",2021.07.17. 10:21
531,원하던그림 완성,아하하하이코님게시글보고 급뽐뿌와서 시작한 워치놀이이제 완성했네요 ​클락콜로지 ㅋㅋㅋ 근데 이거 한시간마다 몰래 눌러야하는거죠 ㅋㅋ,2021.07.17. 09:49
532,오늘은 화이트로 시원하게..,예전에 사둔 케이스로 끼워 봤습니다.​블랙과 화이트 조합 괜찮네요 :)​*피부가 닭살 피부라 ㅠㅠ.. 양해 부탁 드려요..,2021.07.17. 08:23
533,출근길 촬영한 와치!,오늘도 즐거운 하루 되세요~~!,2021.07.17. 08:14
