,내용,등록일
705,노트빠로서 역시 플래그쉽 지존답네요흡족합니더일단 디자인 넘사벽 카툭튀와 AF가 매력포인트120hz와 s펜반응등 갑이네요,2020.10.16. 08:15
706,1번 사진은 갤럭시 s8 일반 카메라 사진2번 사진은 노트 20울트라 일반 카메라 사진입니다색감부터 시작해서 선명도 빛 번짐까지무슨 카메라 크기만 커지고 모든게 엉망이네요업무상 급하게 사진 찍어야 하는 일이 많은데초점은 다 날아가고 잘 찍혔다 싶은면 확대해보니 빛번짐 심하고갤 3 4 부터 s8까지 완전 만족하면서 썼는데이게 뭐하는 짓인지 모르겠습니다1억화소면 뭐하고 광학줌이 되면 뭐합니까전 기종보다 사진이 엉망인데개통철회하고 노트10가야하나짜증납니다,2020.10.16. 00:14
707,스마트폰은 아이폰만 쓰다 노트20울트라로 바꿨는데 좋네요  안드로이드에 대한 편견이 있었는데 노트20울트라 써보고 편견이 싹 사라졌어요삼성 휴대폰 참 잘만드네요 아이폰 감성과는 다르지만 갤럭시의 최신 기능들에 감탄이 절로 나옵니다그리고 케이스 액정보호필름이 기본으로 장착되어 있는 것에도 놀랐네요 잘 익혀봐야겠어요,2020.10.15. 23:09
708, Galaxy Note 20 Ultra  Galaxy Watch 3 역시 저렴하게 받을거 다 받고 싸게 가져오는 이맛,2020.10.15. 20:56
709,기존폰이 s9 인데 추가보상 기회라테크노에서 주말에 구입했습니다여전히 거긴 계산기로 대화 하더군요화이트 구매 하려다 브론즈로 구매했습니다일단 빠르고 120hz는 정말 스크롤시 부드럽네요일단 s9 에서 업글로 신세계네요,2020.10.15. 19:32
710, 후기X체험단글 게시글작성X기업홍보단X 손 위쪽 죄측으로 까만줄 보이세요 이 까만줄이 폴드를 열었을때 좌측화면 모서리쪽에 벵 둘러서 저런 줄 들이 보여서 5일날 삼성as 접수 했는데 20분 기다리라고 해서 기다린후 뭐 뭍은게 아니냐라고 as기사님께서 물어봤고 흥분을 안할려고 웃으면서 지워보라고 하니까 구입한지 얼마나 되었냐고 물어보길레 14일 지났다 그러니까 제고가 없다 이삼일후에 전화할테니 기다리라고 해서 7일날가서 새박스 실 직접 컷트로 자른후 다시 20분 기달려서 새제품 교환받았어요 스왑관련 문서 줘서 이통사가서 파손보험들은거 다시했어요 기계가 바뀌었으니 바로 가서 하라고 해서 했고요 단순히 도장이 벗겨진줄 알았는데 그 스왑양식에 액정액이 흘러나왔다고 적혀 있던가 그랬어요      여러분들도 모서리 잘한번 보시고 교환하세요 한달지나가기전에는 새제품교환됩니다,2020.10.15. 10:36
711,노트20울트라 6일째 사용중인데요다음과 같이 키보드를 사용하다가 내리면키보드 모양 잔상이 생기네요다크모드 적용화면이 밝을수록 더 선명하게 보여요당연히 스샷으로 안보이는거 잘 알고있고제 눈에서 생기는 밝은곳보다가 다른곳보면 생기듯잔상이 아님을 주위사람들에게 확인받았습니다이게 무슨문제일까요30초2분정도에 걸쳐 천천히 사라집니다키보드 이외에도 생기더라구요 게임을 한다거나 할때 전부 일시적이긴하지만 거슬려요비슷한 현상을 겪으신분 계시는지요이걸 섭센을 가야하나 고민돼서 글올립니다,2020.10.15. 06:29
712,11프로 쓰다 작아서 s20플 왓는데이제 이것마저 작네여폴드나 아이패드 뭘 사야 만족이 되지,2020.10.14. 16:52
713,안녕하세요 아래 갤노트20 필압관련 글을 쓴 사람입니다충분한 전후 설명이 없는데도 불구하고많은 분들이 친히 댓글 남겨주셔서 많은 도움이 됐습니다일단 제가 갤노트20 울트라 필압관련 글을 올리게 된 계기를 설명해야 될 것 같습니다 얼마전 저는 갤노트20 울트라를 구매했습니다구매한 당일 s노트 앱에서 붓펜 필압이 정상적이지 못한 상황을 인지하고 바로 다음날 서비스센터에 방문을 했습니다 당연히 제 기기가 불량이라고 생각하고 쉽게 기기불량 판단을 받을것으로 예상했었습니다서비스센터 기사님이 제 노트20 울트라를 보시더니 어 문제가 있네요 하시더니 본인이 가진 센터 내 기기들을 테스트 해보십니다 그리고는 말씀하시길어 센터 내 보유한 폰들을 테스트 해봤더니 모두 같은 문제가 있네요일단 기술 지원부에 관련 내용을 보고해 놓았으니 결과가 나올 때 까지는 기다려주세요라고 해서 모든 노트20 폰 자체에 문제가 있으니 뭐 어찌 됐던 해결이 되겠구나 하는 생각에 일단 돌아 왔습니다그리고 나서 뽐뿡싸이트에 여기에 올린 글 처럼 기기 가진 분들에게 테스트 요청을 드렸습니다그랬더니 결과가 정상인 분들도 계시다는 겁니다 센터에서는 모든 기기에 문제가 있다고 설명을 들었는데 정상인 분들도 있다니 이게 뭐지 하고 있는 와중에센터에서 최종 연락을 받은 내용인 즉슨 기술지원부에서 테스트 해봤더니 갤노트20 울트라 모든 기기에서 동일한 문제가 발생하니 이것은 불량으로 볼수 없다고 말씀하십니다 제가 커뮤니티 사이트에 올려서 테스트 요청을 해봤는데 정상인 분들도 계시던데요 라고 피드백을 드리니 그럴리가 없다며 기기 가지신 분들의 민감도에 따라서 잘 안느껴질수 있으나 모든 기기에 문제가 있다고 단호하게 말씀하셨습니다 어째뜬 제 기기는 올린 글에서 보시겠지만 그냥 테스트 해봐도 문제가 있는 상황이니 기기불량 판정을 내려달라고 요청 드렸고 기사님께서는 기기불량 판정을 내려 드리겠지만 모든 기기에 동일한 문제가 있으니 기기를 교환한 후에 다시 동일한 문제로 방문 했을 때는 처리해 줄 수 없다라고 말씀하십니다 이 부분에서 이게 무슨 상황인지는 모르겠으나 정상인 유저분들이 계시다는 걸 제가 증명해야 되는 입장이 되버린 상황이 됩니다 결론적으로 저는 현재 기기불량 판정을 받은 상태입니다 이후 제가 선택할 수 있는 길은 개통철회를 해서 노트20울트라를 사용하지 않거나 유저분들중 정상이라고 하시는 분도 계시니 한번 더 뽑기에 도전하거나 하는 선택의 기로에 있습니다 뭔가 이해가 가지 않는 상황에 놓인 저는 답답한 마음에 직접 삼성전자 디플에 방문해서 노트20 노트20 울트라를 테스트 해봤더니모두 저와 동일한 증상이 있는 게 아니겠습니까 이게 제가 아래 테스트 요청 글을 올린 이유입니다 아래 제 글을 보시면 아시겠지만 많은 분들이 저와 동일한 증상을 겪고 계십니다 제가 직접 확인 하지는 못했지만 다행히 댓글에 정상인 기계를 소지하고 계신 분들도 계신 것 같네요 불행중 다행으로 저와 동일 증상이신 분은 센터에 방문해서 수리를 받을 수 있는 길이 열린 셈이죠제가 알기로는 동일증상으로 3번 수리를 받는 경우는 환불처리가 가능한 것으로 알고 있습니다 부디 제글이 저와 동일한 증상으로 어려움을 겪는 분들에게 도움이 됐으면 좋겠습니다저는 아직도 고민중이네요 분명 하드웨어 결함이라고 센터에서 대답을 받았는데희박한 확률을 기대하고 뽑기를 해서 불행한 결과를 마주하게 될 때 또 다시 지루한 공방을 이어가야 할지 아니면 이쯤에서 포기 해야 할지한낱 소비자에 불과한 제가 제품하나 사면서 왜 이런 고민을 감내해야 하는지 참 모든게 이해 안되네요하루 빨리 이런 문제가 적어도 대한민국에서는 사라졌으면 합니다 장황한 글 끝까지 읽어주셔서 감사합니다,2020.10.14. 15:08
714,안녕하세요기존 s8를 3년10개월 정도 사용했습니다 kt 약정 3년  리브엠 10개월 항상 구매하던 성지에서 할까 하다가 알뜰폰 쓰니 자연스레 자급제로 알아보게 되었고마침 아는 동생이 디프에서 근무하여 조언을 얻었습니다 그걸 바탕으로 디프 1군데 홈플 입점 1군데 다녀왔고 큰 금액은 아니지만 동생 본인과 지점에게 도움이 된다하여 어제 디츠 서본점에 다녀왔습니다 폰 하나 산건대 챙긴게 더 많았네요 폰 데이터 이동해주시는분이 전문적으로 계시는줄 몰랐네요  친동생도 s8인데 디프에서 할 예정입니다,2020.10.14. 09:29
715,여자친구랑 저랑 해서 2대 삿습니다 120hz 기가맥히네요저는 노트10에서 여자친구는 A30에서 갈아타네여  더스트 에디션녹조에디션은 둘다 피한거같습니다  9월생산이네요,2020.10.14. 06:26
716,모든 갤럭시 노트 20 울트라 필압 문제가 있다고 삼성 서비스센터에서 공식 답변을 받았습니다이  링크글 보고 테스트 한번씩 해보세요httpsmppomppucokrnewbbsviewphpidfreeboardno7188788 노트20 테스트 요청 s펜 필압 문제 관련 기계오류얼마전에 노트20 울트라 s노트 붓펜에서 필압 문제로 글을 올렸었는데 최종 서비스센터 답변 및 관련 내용mppomppucokr ,2020.10.13. 23:39
717,기존 s9쓰다가 노트 20으로바꾸면서민팃이라는걸 알게되었습니다성지는 아니고 아는 분의 3사 통신사 모두하시는 대리점 에서 구매하였습니다s9가 A급 외관이라 당근마켓에서 팔려다가민팃 특별보상 15만 더준다길래검색해보고 sk직영점을 다녀왔는데요결과적으로는 보상혜택은 받았지만시간 낭비와 직원들이 무지와 무시를 경험하고왔네요 처음간 직영점은 민팃 기계내에서 외관검사등가격책정 검사가 이뤄지는데 케이블 연결이 안되서30분 낭비하고 그냥 나왔구여혹시나싶어 두번째 간곳에서는 처음 민팃기계를 사용해본다하더라구요  케이블 연결은 됬는데검사도중 오류가 나서 민팃 기계 안에서 폰이 갇히는 상황 발생  그러면서 자기네들  가게직영점에서 폰바꾸면 전산으로바로 처리되는데 민팃 기계로하면 1시간 정도 걸린다고 비아냥 대는듯이 얘기하더군요다른 직원분이 도와주셔서 폰꺼내고 다시 하니까 바로 가격책정 완료되고 A급 받아서 134000원 입급되었어요 나머지 추가보상금은 2주 뒤에 입금 된다고하네요결론적으로 아직 민팃 서비스 자체가 안정화가 안되서 불편한점이 더러 있네요  통신사 sk만가능합니다대형 마트에도 민팃이 있는데 마트에서는 특별보상 혜택을 못받는다는것 같아서 직영점을 다녀왔습니다,2020.10.13. 19:31
718,s8 사용하닥 노트20을 넘어왔습니다민팃에 기계 넘기니 뭐 거의 꽁짜로 들고오게됬네요 온가족 노예노트20 여기저기 많이 까이던데 저는 대만족중입니다카메라부터 용량 램 전부 저한테는 신세계네요충분히 만족스럽습니다,2020.10.13. 16:19
719,안녕하세요 제껀아니고 와이프가쓰던 v50s 오늘 바꿨네요 작년11월쯤에 바꾼건데 1년좀안쓰고 넘어왔습니다 lg는 펌업이 많이없네요 저는 s10 5g쓰다가 벨벳넘어왔구요 kt대리점에서 했는데 사은품따로주는거 없냐고 했더니 노트20울트라최고비싼거 하는데 사은품이 어딨냐고 하더라구요 사은품바라는 제가 잘못이겠지요 와이프가 만족하니 저도 만족합니다 색상은 브론즈 256gb입니다 카메라 램성능 사후지원 모든게 좋은거같습니다 잘부탁드려요,2020.10.12. 23:03
720,인도에서 겨드랑이 사이에 손가방 하고노울을 같이 끼고 걷는중 뭔가를 꺼낼려고 하다그순간  노울이 떨어지면서 제 신발  앞에 맞고  공처럼 앞으로 튕겨날라갔어요  그순간 앞이 노레 지면서 후다닥 뛰어 가서 보니   정품 뷰커버 뒷면 측면 다 찍히고 긁히고   다행히 노울은 다치지 않았네요 아우,2020.10.12. 18:01
721,어제 s20fe 구경 갔다가  남편하고 노트20 울트라보고 급 뽐뿌 와서  노트20 울트라의 자태에홀려서 사가지고 왔네요  기존s10 사용한지 이제 1년좀 넘었는데 어휴신랑 직장 동료분들  밀레니엄 할인 받아서저렴하게 샀는데  계산이 너무 복잡학요삼성카드 할인 및 혜택은  카드당 1대씩만 되고2달뒤 14만 밀레니엄 할인  10만이 삼성카드계좌로 입금 된다네요 사전예약  혜택 못 받고 사서 너무 아쉬웠는데디지털프라자에서 괜찮게 사서 좋네요민팃 추가보상도  있어서 액정나간 s9 2대 팔 수 있어서 더 이득이네요  ,2020.10.12. 17:39
722,갤s8 3년반동안 쓰다가 노트20으로 갈아탔는데S20나 노울에 비해 사양이 딸린다고는 하지만엣지쓰다 오랜만에 플랫쓰니 너무좋네요이정도면 만족되는것같습니다 ,2020.10.12. 02:18
723,저는 노트3 3년 노트5  5년정도 사용했는데이번에 노울이로 기변했어요게임 인터넷등에서 아주 보들보들 부드럽고 빠르고 신세계네요 모든 부분에서 만족스러워요 이틀동안 유튜브 보면서 핸드폰 설정 하고 오늘은 카메라 만져보는중인데말이 필요없네요 카메라는 더 좋습니다  노울이 기본카메라 아무 설정없이 찍은거에요  귀엽고 하찮은 궁뎅이 접사가 문제라고 하시는분들이 많아 찍어봤는데노트5는 가깝게 들이대고 찍었었다면노울이는 카메라에서 화면을 눌러 초점을 잡으면 주변부가 흐려져나옵니다문제해결1눌러서 초점잡지말고 2가까이서 말고 좀 떨어져서 찍으면 잘 나옵니다 아래사진 참고 떨어져서 찍은뒤 더 확대가 필요하면 필요한 부분  잘라내기  책이나 문서도 카메라가 자동인식해서 눌러서스캔 떳을때찍으니 더 편하고 좋네요노트5도 만족해서 5년이나 쓴건데 그동안 도데체 핸드폰에 무슨일이 생긴건지아주 많은 발전을 했네요노트5에서 왔으니 좋을수밖에 없나봐요 ,2020.10.11. 19:57
724,매년 노트만 바꿔쓰고있는데 확실히 예전같은 다이나믹한 변화는 최신폰에는 더이상없는거 같아여,2020.10.11. 10:32
725,석연휴기간에 에서 노트20 울트라 자급제를 구매하고 뒤늦게 입문기를 올립니다오자마자 바로 품질 검사했는데 8월 생산품 치고는 다행히 양품 이었습니다 참고로 전 브론즈입니다원래는 노트10플러스 자급제로 살려고 했는데 이미 품절이고 통신사폰으로 살려고 했는데 5g요금은 필수인데다 LTE요금 변경하기가 번거러워서 결국엔  16프로 카드할인 유혹에 못이겨서 결국엔 큰 맘 먹고 구매했죠 몇일 간 사용해봤는데 엄청 좋습니다 120hz 주사율 엄청나고요 s펜 반응속도 빨라졌고요쫌 불편했던건 카툭튀 이거 보호필름하나 장만을 해야할까요 아직까지도 카메라 보호필름 못붙이고 있음카메라는 많이 좋아졌죠  하지만 아직도 적응중입니다 화면이 있는 지문인식이 아직은 어색해요 노트9는 중고폰 보상안받고 동생한테 물려주었습니다 노트9는 좋은 폰이니까요이제는 슬슬 브론즈 깔맞춤할 예정입니다 버즈 라이브나 워치3 z폴드2는 포기해도 노트20 울트라는 포기 못합니다 후회 없습니다 z폴드2는 가격이 10월 구매혜택으로 삼성케어플러스 1년 무료이용권으로 했고 3년 사후지원으로 노트9보다 쫌 오래사용할 예정입니다노울아 잘 부탁한다 부디 오래 가길사진도 올린는데 울엄마가 최근에 z플립을 바꾸시면서 완전구형인 갤럭시j5으로 인증샷 올립니다화질이 구릴수 있으니 양해바랍니다  감사합니다 꾸벅 ,2020.10.10. 21:30
726,근접샷 논란이 워낙 많아서 그냥 방금 책 열어서 하나 찍어봤는데 이정도면 괜찮지않나요소프트웨어 업뎃해서 이렇게 나오는건가요 ,2020.10.10. 01:05
727,사전예약해서 노트20울트라 이제 2개월 사용 중인데이상하게 정이 안가네요 아이폰을 너무 오래 쓰다가 넘어와서 그런건지 정 붙여서 오래 쓰고 싶은데 힘드네요 ,2020.10.09. 09:51
728,은하수 착2로 초점을 맞추니 옆에있는 쌀팔찌5의 초점이 날아가는 상황이 참 안타까워요이 제품을 쓰면서 제일 불만인 부분이에요,2020.10.09. 01:09
729,어제 저녁 늦게 주문한 물건이 다음날 오후 3시에 도착했네요이렇게 빠른 총알 택배는 처음 받아봅니다것도 서울에서 전남 여수 까지때 마침 오늘 공동연차라 연휴 첫날에 아주 기분좋게 언박싱 했습니다그리고 디프로 달려가 프로텍티브 케이스를 바로 구매했습니다역시 A50쓰다가 다시 노트20울트라로 넘어오니 뭔가 뻥 뚤린 느낌이네요,2020.10.08. 19:54
730,노울이조은데너무 큰내게너무큰아이폰12가 120hz달고나오면좋겟네용,2020.10.08. 08:14
731,애x 아이뻐를 쓰다가 갤럭시 노트 20으로 넘어왔습니다갤럭시 노트 시리즈는 처음이라 광고 빨인지 노트s펜 쓰면 인싸처럼 보일거 같드라구요 3주정도 되었는데 이거 뭐라뭐라해도 카메라니 기능 부분이니 s펜이니 저한테는  너무 만족 스럽네요 5g 안쓰고 자급제로 삼디에서 구매했구요앞으로 노트 시리즈만 쓰게 생겼는데 여기서 팁이나 여러가지 정보 공유 받으면서 잘 써보려 합니다무탈하게 모두모두 잘 쓰시길 바래요,2020.10.07. 20:06
732,까지 에스펜 저장위치가 맨아래맨오른쪽 아니었나요이거 꺼내고 집어넣을때 꽤나 불편해요 그리고 잘 들어가지지도 않고 꺼낼때도 힘들고노트9나 그 이전노트시리즈와 비교해보면 진짜 한숨나옵니다 화납니다,2020.10.07. 18:07
733,노트9 512G 쓰다가 노트20 울트라로 기변했는데요몇일전 지인들과 산에 갔다가 제 폰만 신호가 아예 안잡혀서 바보됐어요그래서 옆사람 핸드폰으로 검색해서 모바일 네트워크를 LTE 우선모드로 바꾸니까 그때부터 잘 터지네요그 이후 부터는 무조건 LTE 우선 모드로 사용하고 있습니다서울인데도 이러니 지방은 더 심하겠죠,2020.10.07. 18:00
734,노트9쓰고 노트10은 외장이 지원안되서 쉬었다가 어제 울트라개통해서 기쁜 마음으로써보는 중인데 다른 것은 아직 모르겠는데 카메라가 왜 이렇죠전 보통 회사에서 자질구레한 자료나 전단지청구서등 종이는 노트카메라로 찍어서 보관하는데노트9는 어떻게 찍어도 항상 선명하고 깨끗하게 글씨가 나왔거든요 그런데울트라는 뭐랄까 글씨가 선명하지 않아아요제가 안경쓰는데 안경벗고서 글씨보면 보이는 것처럼 보여요무슨 1억8천만화소니 난리치더니 왜 다운그레이드된거죠방법이 없을지동영상이나 풍경말고 저는 글씨위주로 찍어야 하는데 큰일이네요업무자료라서 조언해줄 분 없나요,2020.10.07. 17:48
735,너무 맘에 들고 잘쓰고 있네요오랜만에 맘에드는 폰을 쓰네요,2020.10.07. 15:26
736,노트20 울트라 카메라는 정말 별롭니다노트20 일반 s20 카메라보다 화질이 떨어지네요똑같은 피사체 놓고 똑같은 방식으로 찍어도찍고나서 확대하면 마감이 개쓰레기네요 고화질108mp로 찍었는데 확대하면 이렇습니다역시 수치나 스펙이 다가 아님을 보여주네요 노트20 울트라 일반화질로 찍은 사진을 확대 노트20 울트라 고화질108mp로 찍은 사진 확대색감이나 선명도 빛 조절 등 일반모드로 찍은 화질이 훨씬 좋습니다 고화질이란 말이 무색하네요,2020.10.07. 09:23
737,갤럭시s8 2년넘게 쓰다가 지난주에 노트로 바꿨는데 개인적으로 앳지스크린보다 플랫스크린이 훨씬 편하네요그립감 케이스 핏감도 좋고 간섭도 적고 파손 위험도 적고저만 이런가 다른분들도 이런분들 많으실려나,2020.10.06. 21:47
738,업무상 a4 정도의 서류나 문서를 많이 찍는데문서 가운데만 초점이 맞고 사진의 가운데 주변부분을 다 날라가서 흐린상태로 찍히네요 참 어이가없네요 아니 핸드폰카메라로 확대해서 달만찍을라고 산건가요 아님 풍경만 찍어야할 판이네요음식 근접사진도 똑같이 주변이 날라가버려요기본적인 것을 완전 놓쳐버렸네요 노트20 울트라는노트10플러스랑 같은 세팅으로 찍어도 노트10이 초점 날라가는 부분없이 더 또렸다고 선명하게 나옵니다서비스센터는 구조적으로 어쩔수없다라고만 하고아니 직장인들은 갤럭시노트20울트라로 쓰지 말라는건지 이걸 출시하기전에 테스트를 해볼텐데 알면서도 출시한거라면 스펙늘리기에만 치중한듯해서 참 답없네요 진짜 이걸 좋다고 하시는분들은 풍경만 찍으러 다니시는건가 참,2020.10.06. 18:34
739,속도부터 쾌적하네요 화면도 좀더 크구요근데 색감은 예전폰은 쨍한감이있었는데  울트라는 물빠진 색감이 느껴지네요패널이 달라서 그런걸까요그거빼면 모든면에서 너무나 만족합니다그리고 혹시 문자메세지는 옮겨올수없나요 검색해도 안보이네요 카톡은 서랍까지해서 다옮겨왔는데 말이죠,2020.10.05. 18:04
740,폰자주 봐꾸는 성격이 아니라서 쓰던 아이폰6 사망으로 자급제 구입했습니다키보드 렉안걸려서 좋네요  ,2020.10.05. 16:32
741,개인적으로 그립감이 좋은 폰을 선호하는데일반 노트 20을 할까 하다가그냥 에뮬레이터 게임PS2 WII도 즐기고폰을 많이 가지고 노는 편이라 갤럭시 노트 20 울트라이하 노울를 선택했네요1 기대보다 강력했던 스냅 865S20의 스냅 865와 별 차이 없을 거라생각했지만 PS2 에뮬레이터를 돌려본 결과철권 5 철권 4 갓오브워 데빌메이크라이위닝일레븐 메탈기어 귀무자 등 정상적으로에뮬레이션된 게임은 60프레임 풀속도로플레이 가능합니다스냅 865는 같은 상황에서 게임속도 저하나프레임 스킵현상이 있는데노울은 심지어 절전모드CPU 70 이하에서도풀 프레임과 속도를 뽑아내는 것을 보고놀랐습니다PSP DC드림캐스트 에뮬 정도는 당연풀 속도에 풀 프레임이고 마메 안드로이드로 철권 태그 토너먼트도완벽하다 못해 이미지 강화까지 시켜돌아갑니다특히 돌핀게임큐브 WII은 버추어스트라이커 3나 WII용 젤다 몬스터 헌터 등 모든 게임이 FHD나 UHD 해상도에서 60프레임 풀 속도로 구동됩니다C타입 HDMI나 삼성 덱스 등을 통하면TV 대화면과 딜에이 없이 바로 연결되고강화된 블루투스 성능 때문인지PS4용 듀얼쇼크 4를 2개 동시에 연결해도인풋렉 하나 없다는 점아무튼 강력한 게임성능을 보여줍니다게임성능에서만큼은 기존 865모델과차이가 크네요2 제품 마감후면 카메라 논란 등카메라 습기 카메라 안 먼지 카메라 렌즈위치 문제 등 다양한 논란이 있었는데안그래도 주문시 가장 최신 생산품을달라고 했는데 다행히 렌즈 정중앙에먼지 하나 없었고 게임을 많이 하기 때문에특히 냉온이 극명하게 오가는 환경인데매번 확인했지만 습기는 단한번도 없었습니다최신 생산품은 문제가 많이 없어진 것 같네요3 색온도 문제또하나 붉어진게 오줌액정 빈도가 높다는 점기본적으로 누런 끼가 많다고 하던데걱정과 달리 색온도가 꽤 차가운 편파란 쪽이었습니다그래서 색온도 조절없이 그냥자연스러운 화면으로 사용 중입니다이렇게 사용해도 누런끼는 전혀 없는 정도암튼 색온도도 만족하고 화질이 아주 좋습니다같이 구매는 했지만7월 생산분을 받은 친구는 오줌액정이 심하던데 조절을 해서 쓴다지만 불편해하더군요랜덤이겠지만 최근 생산분부터는 색온도도 변화가 있었던 것 같습니다참고로 전 2020년 8월 생산분입니다4 배터리 이슈배터리는 오래가는 것인지 아닌지아리송하긴 한데일단 테스트 해본 결과배터리 학습기간 중에는대기전력은  일상에는 34시간당 1 소모취침시에는 46시간당 1 소모유튜브 영상은 5분당 1 소모인터넷 이용시 9분당 1 소모배터리 학습기간을 마친 이후에는대기전력은 일상에는 4시간당 1 소모취침시에는 6시간당 1 소모유튜브 영상은 67분당 1 소모인터넷 이용시 910분당 1 소모학습전후가 큰 변화는 없는데일단 블루투스 상시 ON데이터 이용시 배터리 소모정도입니다대략 이것저것 많이 할 때는 하루 정도좀 덜 사용하면 이틀 정도는어렵지 않게 사용가능한 정도네요게임을 할 때에는최적화 기준입니다블루투스로 패드 연결하고고성능 게임인 PS2 에뮬을 할 때에는 3분 정도에 1WII나 DC드림캐스트 에뮬은45분 정도에 1마메는 5분당 1 정도 소모되네요물론 절전모드로 해도 에뮬 게임은풀 구동되기 때문에 절전모드시에는30초에서 1분 정도 더 지속된다보시면 됩니다일단 말이 많던데배터리 타임은 아주 만족합니다대화면을 고려했을 때데이터로 동영상 재생시 8시간 정도는어렵지 않게 나올 것으로 보고게임도 6시간 정도는 즐길 수 있어서괜찮구요인터넷이나 음악 감상 등라이트하게 사용하면 10시간 정도는충분히 가능해서 불편이 없네요혹시나 배터리가 너무 광탈한다생각되시는 분들은 공초해보시고공초 후에 어플을 좀 차분하게설치해보시면 괜찮을 것 같아요자도 공초를 한번 했습니다5 결론일단 노트20도 괜찮겠지만개인적으로는 노트20 울트라 추천드리구요저같은 경우에는 삼성512 SD 카드를 끼워 사용하는데에뮬게임만으로 512기가가 다 차버려서조만간 1TB 메모리를 구매할 예정입니다일단 게임이야기가 많았는데해외에 퍼포먼스나 게임 전용 폰도 있지만삼성 노트만의 편의성을 그대로 가지면서스냅 865의 강력한 성능을 잘 활용한 덕에PS2 닌텐도 WII 3DS 정도의 에뮬은아무런 제약없이 돌릴 수 있는 폰이란 점당분간은 이만한 편의성과이만한 괴물성능을 같이 보여주는 폰이흔하진 않겠다 생각이 드네요가볍게 사용하신다면 노트20도 괜찮지만강력한 퍼포먼스나 광활한 저장공간을 활용하는 등 사용영역이 넓은 분들은노트20 울트라가 맞다고 봅니다성공적인 뽑기 기원하겠습니다 ,2020.10.05. 16:22
742,유플러스에서 노트9 2년 쓰고 노트9 개통할때 중고폰보장프로그램 가입했었기에 이번에 노트20울트라로 기변했습니다 최신폰이 좋긴 좋네요근데 좀 많이 크네요 불안불안 합니다집에선 5g로 잘 되는데 왜 회사 사무실에선 lte로 뜨는지  밖에 나가면 또 5g로 바뀌고 진짜 5g가 잘 안터지긴 하나보군요 쩝,2020.10.05. 08:23
743,노트9에 있던 다운로드 부스터가 없어졌네요,2020.10.04. 22:21
744,저는 S10 5G 쓰고 있고 좀 더 쓸예정인데부모님 휴대전화 노트 20로 바꾸셨어요실제로 세팅해드리면서 이것저것 살펴보는데혹평을 많이 들어서 그렇지 솔직히 핸드폰 자체는 나쁘지 않은 것 같아요울트라에 밀린다뿐이지 뭔가 밸런스가 잡혀있는 느낌부모님도 만족해하시구요,2020.10.04. 12:07
745,아직 2주도 안됐지만 일단 카메라랑 스피커 충전속도는 확실히 차이가 크게 나네요,2020.10.03. 23:24
746,이 정도는 녹조가 없나요,2020.10.03. 23:19
747,사전예약기간부터 고민고민하다가결국 오늘 구입하고 왔네요전 v30에서 노울화이트로신랑은 노트8에서 노울블랙으로제발 별이상 없길 빌어봅니다,2020.10.02. 22:33
748,이 정도면 교품 받아야겠죠 카메라 유격은 그냥 신경 안 쓸려고 했는데 녹조가 이렇게 심해서야,2020.10.01. 13:34
749,플랫이랑 노트9 특별보상으로 다른건 보지도않고 노트20했어요카페보면 출고가에 비해 사양이 딸린다는 글 너무 속상합니다그런말하지마여그런말하기전에 알아보고 사여나만 만족하면되지 사놓구 이거 안좋나여어떤 답변을 듣길 바라십니까노트9도 생폰이었는데안에들어있는 젤리 꼈더니 문자 칠때 베젤쪽 걸리는거 넘 싫으네요 처음 다운받고 다했는데 문자소리안나서초기화하는 번거러움이 있긴했는데어쨌든 이젠 잘 되요노트9  민팃에 넣으니 c급 166000원200000 나와서 너무 속상한대 보낼때 기계앞에서 한 3번은 해보려구요자급제는 처음이라 모르는거 많았는데카페서 도움 많이 받았어요 감사해요,2020.10.01. 08:33
750,일요일에 백화점 입점한 삼성디지털프라자에서 노트20 울트라 구매하고 바빠서 오늘에서야 펜도 테스트 해봤는데잘 작동이 안되는거같아서 뭔가 이상해서 계속 눌러보다보니화면 34아래는 s펜이 인식을 못하네요카페 덕에 폰 자체 내에 점검할수 있네요하필 쉬는날에 이래서 속상하네요큰맘 먹고 샀는데 불량이라니서비스센터를 먼저 가면 되는지 교환증이란게 있다는데 순서 알려주시면 감사하겠습니다  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기일요일백화점 삼성프라자에서 노트20 울트라 구매했습니다만,2020.10.01. 02:13
